X,y
-5.0,-102.12513056250442
-4.9,-97.47009162964196
-4.800000000000001,-84.39772286088314
-4.700000000000001,-74.73034390890318
-4.600000000000001,-76.00242587316754
-4.500000000000002,-67.33120305036907
-4.400000000000002,-65.36285298286967
-4.3000000000000025,-61.57515226553521
-4.200000000000003,-53.97583867563069
-4.100000000000003,-61.57376329196667
-4.0000000000000036,-34.59979745013997
-3.900000000000004,-43.877870478997366
-3.8000000000000043,-39.52876013149238
-3.7000000000000046,-32.37064621555706
-3.600000000000005,-40.57987012794462
-3.5000000000000053,-44.327910786624535
-3.4000000000000057,-30.189325499994787
-3.300000000000006,-5.664654001365378
-3.2000000000000064,-25.214892081282127
-3.1000000000000068,-27.70278624652282
-3.000000000000007,-23.406507301795738
-2.9000000000000075,-16.845203827945493
-2.800000000000008,-4.38867459983433
-2.700000000000008,-9.431736262361166
-2.6000000000000085,-7.881597974523761
-2.500000000000009,2.634467352358291
-2.4000000000000092,-18.692037788235382
-2.3000000000000096,1.0811089514273435
-2.20000000000001,2.3982962970394066
-2.1000000000000103,7.594277699144635
-2.0000000000000107,5.381904308774733
-1.900000000000011,0.49805760682844025
-1.8000000000000114,-6.934911172697355
-1.7000000000000117,-1.9948542759622354
-1.600000000000012,23.15295540344753
-1.5000000000000124,20.055757516379852
-1.4000000000000128,-3.048026644477135
-1.3000000000000131,4.760610358836099
-1.2000000000000135,17.57154474562972
-1.1000000000000139,1.4181539136893662
-1.0000000000000142,0.8106939368110639
-0.9000000000000146,-3.3957026608754743
-0.8000000000000149,20.93076014486521
-0.7000000000000153,24.80569640147766
-0.6000000000000156,7.508125116003138
-0.500000000000016,10.437231470324573
-0.40000000000001634,15.118726688934062
-0.3000000000000167,-3.3614615725817316
-0.20000000000001705,9.490035585404893
-0.10000000000001741,9.446375630299944
-1.7763568394002505e-14,16.592001515628603
0.09999999999998188,-15.941178654484796
0.19999999999998153,1.1310414210647242
0.29999999999998117,11.792024336405484
0.3999999999999808,6.44322994195978
0.49999999999998046,4.126593215588537
0.5999999999999801,18.99832639835286
0.6999999999999797,-3.254566952439445
0.7999999999999794,18.259924149577458
0.899999999999979,21.504045409800256
0.9999999999999787,33.34290308512975
1.0999999999999783,-3.1634921945392165
1.199999999999978,12.048411485905088
1.2999999999999776,11.654327560880187
1.3999999999999773,18.547513056767436
1.499999999999977,1.7338314377179156
1.5999999999999766,2.845852423852074
1.6999999999999762,1.6141523653944176
1.7999999999999758,32.58484902600826
1.8999999999999755,21.90491190933108
1.9999999999999751,21.595452494307043
2.0999999999999748,20.71743354656059
2.1999999999999744,21.28661108844692
2.299999999999974,34.353375880092855
2.3999999999999737,16.01807020965699
2.4999999999999734,29.23548903427848
2.599999999999973,38.19230424686798
2.6999999999999726,41.297224618489565
2.7999999999999723,29.017222080120806
2.899999999999972,35.0713893529066
2.9999999999999716,41.92275964159862
3.0999999999999712,61.32717351361964
3.199999999999971,54.04184606401586
3.2999999999999705,49.275642812339726
3.39999999999997,56.18581621831294
3.49999999999997,53.28869709114462
3.5999999999999694,66.7095419786783
3.699999999999969,58.96886570913961
3.7999999999999687,73.98745433672742
3.8999999999999684,91.37388492848206
3.999999999999968,92.1868071741539
4.099999999999968,88.00902001262415
4.199999999999967,91.4719390914465
4.299999999999967,102.99262059733756
4.399999999999967,117.0827003973095
4.499999999999966,122.78595190472842
4.599999999999966,138.53776309316598
4.6999999999999655,141.62889031984872
4.799999999999965,141.66557238320158
4.899999999999965,165.63524921418534
